explore, PREDICTOR, RANDOM, ZD-GTFT-2, TFT, WSLS, ALLD, ZD-Extort-2, JOSS, GTFT, ALLC, 
0.0, 1.09, 2.98, 2.91, 2.45, 2.99, 0.99, 1.1, 2.57, 2.93, 4.98, 
0.05, 1.1, 2.93, 2.96, 2.94, 2.96, 0.97, 1.04, 2.7, 2.97, 4.93, 
0.1, 1.19, 2.97, 2.95, 2.92, 2.91, 0.95, 1.12, 2.62, 2.97, 4.87, 
0.15, 1.22, 2.91, 2.91, 2.88, 2.88, 0.93, 1.12, 2.53, 2.97, 4.82, 
0.2, 1.59, 2.69, 2.91, 2.85, 2.84, 0.9, 1.17, 2.57, 2.96, 4.78, 
0.25, 1.38, 2.67, 2.87, 2.78, 2.81, 0.88, 1.21, 2.53, 2.96, 4.72, 
0.3, 1.41, 2.65, 2.86, 2.72, 2.76, 0.84, 1.44, 2.55, 2.94, 4.67, 
0.35, 1.48, 2.68, 2.85, 2.71, 2.73, 0.81, 1.3, 2.47, 2.95, 4.63, 
0.4, 1.54, 2.7, 2.79, 2.68, 2.67, 0.8, 1.45, 2.42, 2.89, 4.58, 
0.45, 1.6, 2.73, 2.8, 2.64, 2.68, 0.77, 1.61, 2.39, 2.9, 4.56, 
0.5, 1.68, 2.56, 2.73, 2.61, 2.59, 0.74, 1.41, 2.4, 2.92, 4.5, 
0.55, 1.76, 2.56, 2.73, 2.57, 2.57, 0.71, 1.6, 2.3, 2.88, 4.44, 
0.6, 1.79, 2.63, 2.73, 2.47, 2.52, 0.69, 1.38, 2.34, 2.87, 4.37, 
0.65, 1.86, 2.57, 2.68, 2.47, 2.49, 0.67, 1.6, 2.31, 2.84, 4.29, 
0.7, 1.92, 2.57, 2.66, 2.48, 2.55, 0.62, 1.39, 2.25, 2.88, 4.29, 
0.75, 1.98, 2.38, 2.6, 2.43, 2.45, 0.63, 1.74, 2.2, 2.91, 4.25, 
0.8, 2.05, 2.41, 2.6, 2.35, 2.37, 0.59, 1.52, 2.17, 2.86, 4.17, 
0.85, 2.08, 2.41, 2.6, 2.4, 2.28, 0.58, 1.74, 2.2, 2.83, 4.12, 
0.9, 2.14, 2.34, 2.58, 2.32, 2.33, 0.55, 1.66, 2.09, 2.85, 4.09, 
0.95, 2.23, 2.26, 2.57, 2.25, 2.33, 0.55, 1.54, 2.11, 2.82, 4.02, 
1.0, 2.24, 2.19, 2.54, 2.22, 2.38, 0.51, 1.59, 2.11, 2.81, 3.95, 
