PREDICTOR, RANDOM, ZD-GTFT-2, TFT, WSLS, ALLD, ZD-Extort-2, JOSS, GTFT, ALLC, 
2.0, 7.0, 3.0, 4.0, 5.0, 9.0, 10.0, 8.0, 1.0, 6.0, 
1.0, 7.0, 3.0, 5.0, 4.0, 9.0, 10.0, 8.0, 2.0, 6.0, 
1.0, 7.0, 3.0, 5.0, 4.0, 9.0, 10.0, 8.0, 2.0, 6.0, 
1.0, 7.0, 3.0, 5.0, 4.0, 9.0, 10.0, 8.0, 2.0, 6.0, 
1.0, 7.0, 3.0, 5.0, 4.0, 9.0, 10.0, 8.0, 2.0, 6.0, 
2.0, 6.0, 3.0, 5.0, 4.0, 8.0, 10.0, 9.0, 1.0, 7.0, 
1.0, 7.0, 3.0, 5.0, 4.0, 8.0, 10.0, 9.0, 2.0, 6.0, 
2.0, 7.0, 3.0, 5.0, 4.0, 8.0, 10.0, 9.0, 1.0, 6.0, 
2.0, 7.0, 3.0, 5.0, 4.0, 8.0, 10.0, 9.0, 1.0, 6.0, 
1.0, 7.0, 3.0, 5.0, 4.0, 8.0, 10.0, 9.0, 2.0, 6.0, 
3.0, 7.0, 2.0, 5.0, 4.0, 8.0, 10.0, 9.0, 1.0, 6.0, 
3.0, 7.0, 2.0, 5.0, 4.0, 8.0, 10.0, 9.0, 1.0, 6.0, 
4.0, 7.0, 2.0, 5.0, 3.0, 8.0, 10.0, 9.0, 1.0, 6.0, 
3.0, 7.0, 2.0, 5.0, 4.0, 8.0, 10.0, 9.0, 1.0, 6.0, 
3.0, 7.0, 2.0, 5.0, 4.0, 8.0, 10.0, 9.0, 1.0, 6.0, 
4.0, 7.0, 2.0, 5.0, 3.0, 8.0, 10.0, 9.0, 1.0, 6.0, 
4.0, 7.0, 2.0, 5.0, 3.0, 8.0, 10.0, 9.0, 1.0, 6.0, 
4.0, 7.0, 2.0, 5.0, 3.0, 8.0, 10.0, 9.0, 1.0, 6.0, 
4.0, 7.0, 2.0, 5.0, 3.0, 8.0, 9.0, 10.0, 1.0, 6.0, 
5.0, 6.0, 2.0, 4.0, 3.0, 8.0, 9.0, 10.0, 1.0, 7.0, 
7.0, 6.0, 2.0, 5.0, 3.0, 8.0, 9.0, 10.0, 1.0, 4.0, 
